# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.heapBytesInUse,1757676681353000000,1757676741374000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757676681353000000,1757676741374000000,877
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757676681353000000,1757676741374000000,2386009
Indexes.allKeys.lookups,1757676681353000000,1757676741374000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1757676681353000000,1757676741374000000,0
IndexesFlusher.totalFlushingTimeUs,1757676681353000000,1757676741374000000,217412
Indexes.entries.lookupDuration90PMs,1757676681353000000,1757676741374000000,0.0
IndexesFlusher.totalFlushes,1757676681353000000,1757676741374000000,59
Indexes.stubs.lookups,1757676681353000000,1757676741374000000,0.0
Indexes.entries.lookups,1757676681353000000,1757676741374000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1757676681353000000,1757676741374000000,0.0
IndexesFlusher.totalFlushesRetried,1757676681353000000,1757676741374000000,0
Indexes.stubs.lookupDurationAvgMs,1757676681353000000,1757676741374000000,0.0
Indexes.allKeys.lookupDuration90PMs,1757676681353000000,1757676741374000000,0.0
Indexes.stubs.lookupDuration90PMs,1757676681353000000,1757676741374000000,0.0
Indexes.stubs.lookupDurationMaxMs,1757676681353000000,1757676741374000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1757676681353000000,1757676741374000000,0.0
Indexes.entries.lookupDurationMaxMs,1757676681353000000,1757676741374000000,0.0
Indexes.entries.lookupDurationAvgMs,1757676681353000000,1757676741374000000,0.0
FileNameCache.totalMisses,1757676681353000000,1757676741374000000,70825
FileNameCache.queries,1757676681353000000,1757676741374000000,1130134
workspaceModel.init.bridges.ms,1757676741374000000,1757676801362000000,0
workspaceModel.updates.count,1757676741374000000,1757676801362000000,3
workspaceModel.replace.project.model.ms,1757676741374000000,1757676801362000000,0
workspaceModel.loading.from.cache.ms,1757676741374000000,1757676801362000000,65
workspaceModel.update.unloaded.entities.ms,1757676741374000000,1757676801362000000,0
workspaceModel.check.recursive.update.ms,1757676741374000000,1757676801362000000,0
workspaceModel.initializing.ms,1757676741374000000,1757676801362000000,0
workspaceModel.updates.precise.ms,1757676741374000000,1757676801362000000,9
workspaceModel.updates.ms,1757676741374000000,1757676801362000000,25
workspaceModel.loading.total.ms,1757676741374000000,1757676801362000000,70
workspaceModel.to.snapshot.ms,1757676741374000000,1757676801362000000,0
workspaceModel.collect.changes.ms,1757676741374000000,1757676801362000000,0
workspaceModel.pre.handlers.ms,1757676741374000000,1757676801362000000,0
JVM.totalBytesAllocated,1757676741374000000,1757676801362000000,210261032
OS.loadAverage,1757676741374000000,1757676801362000000,2.2431640625
JVM.totalCpuTimeMs,1757676741374000000,1757676801362000000,9662
JVM.threadCount,1757676741374000000,1757676801362000000,79
JVM.usedNativeBytes,1757676741374000000,1757676801362000000,409768504
JVM.maxHeapBytes,1757676741374000000,1757676801362000000,2147483648
JVM.maxNativeBytes,1757676741374000000,1757676801362000000,-1
JVM.usedHeapBytes,1757676741374000000,1757676801362000000,392841976
JVM.GC.collectionTimesMs,1757676741374000000,1757676801362000000,86
JVM.GC.collections,1757676741374000000,1757676801362000000,1
AWTEventQueue.eventsDispatched,1757676741374000000,1757676801362000000,0
FlushQueue.queueSizeMax,1757676741374000000,1757676801362000000,0
WriteAction.executionsCount,1757676741374000000,1757676801362000000,0
AWTEventQueue.dispatchTimeMaxNs,1757676741374000000,1757676801362000000,0
FlushQueue.queueSizeAvg,1757676741374000000,1757676801362000000,0.0
FlushQueue.executionTimeMaxNs,1757676741374000000,1757676801362000000,0
FlushQueue.tasksExecuted,1757676741374000000,1757676801362000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757676741374000000,1757676801362000000,159
FlushQueue.waitingTimeAvgNs,1757676741374000000,1757676801362000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1757676741374000000,1757676801362000000,0.0
FlushQueue.executionTimeAvgNs,1757676741374000000,1757676801362000000,0.0
FlushQueue.waitingTime90PNs,1757676741374000000,1757676801362000000,0
ReadAction.executionsCount,1757676741374000000,1757676801362000000,1497
FlushQueue.executionTime90PNs,1757676741374000000,1757676801362000000,0
AWTEventQueue.dispatchTimeTotalNS,1757676741374000000,1757676801362000000,1463248181
FlushQueue.waitingTimeMaxNs,1757676741374000000,1757676801362000000,0
NonBlockingReadAction.failedExecutionsCount,1757676741374000000,1757676801362000000,0
NonBlockingReadAction.failedExecutionTimeUs,1757676741374000000,1757676801362000000,0
FlushQueue.queueSize90P,1757676741374000000,1757676801362000000,0
AWTEventQueue.dispatchTime90PNs,1757676741374000000,1757676801362000000,0
NonBlockingReadAction.finalizedExecutionsCount,1757676741374000000,1757676801362000000,2
jps.module.iml.entities.serializer.save.entities.ms,1757676741374000000,1757676801362000000,0
jps.global.initialize.library.bridges.ms,1757676741374000000,1757676801362000000,0
workspaceModel.global.updates.count,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1757676741374000000,1757676801362000000,5
workspaceModel.delayed.project.synchronizer.sync.ms,1757676741374000000,1757676801362000000,38
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757676741374000000,1757676801362000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1757676741374000000,1757676801362000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1757676741374000000,1757676801362000000,0
jps.facet.change.listener.process.change.events.ms,1757676741374000000,1757676801362000000,0
workspaceModel.load.cache.from.file.ms,1757676741374000000,1757676801362000000,63
workspaceModel.orphan.listener.update.ms,1757676741374000000,1757676801362000000,2
jps.global.get.libraries.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757676741374000000,1757676801362000000,2
jps.library.entities.serializer.save.entities.ms,1757676741374000000,1757676801362000000,0
jps.artifact.entities.serializer.load.entities.ms,1757676741374000000,1757676801362000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1757676741374000000,1757676801362000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1757676741374000000,1757676801362000000,0
jps.global.get.library.by.name.ms,1757676741374000000,1757676801362000000,0
workspaceModel.moduleBridge.update.option.ms,1757676741374000000,1757676801362000000,0
jps.load.initial.state.ms,1757676741374000000,1757676801362000000,3
jps.load.project.to.empty.storage.ms,1757676741374000000,1757676801362000000,30
jps.global.handle.changed.events.ms,1757676741374000000,1757676801362000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1757676741374000000,1757676801362000000,113
jps.app.storage.content.reader.load.component.ms,1757676741374000000,1757676801362000000,0
jps.facet.change.listener.init.bridge.ms,1757676741374000000,1757676801362000000,0
jps.save.global.entities.ms,1757676741374000000,1757676801362000000,1
jps.apply.loaded.storage.ms,1757676741374000000,1757676801362000000,7
jps.library.entities.serializer.load.entities.ms,1757676741374000000,1757676801362000000,0
jps.artifact.entities.serializer.save.entities.ms,1757676741374000000,1757676801362000000,0
jps.app.storage.content.writer.save.component.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.entities.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1757676741374000000,1757676801362000000,0
workspaceModel.save.cache.to.file.ms,1757676741374000000,1757676801362000000,22
